নাম/পদবী,সম্ভাব্য ধর্ম
জেভিয়ার,খ্রিস্টান
ফ্রাঙ্কলিন,খ্রিস্টান
গোমেস,খ্রিস্টান
শুভজিৎ,হিন্দু
জোসেফ,খ্রিস্টান
দেবজানি,হিন্দু
ক্লারা,খ্রিস্টান
রড্রিগেজ,খ্রিস্টান
পূজা,হিন্দু
চ্যাম্বুগং,আদিবাসী
অরূপ,হিন্দু
গঙ্গোপাধ্যায়,হিন্দু
চট্টোপাধ্যায়,হিন্দু
বন্দ্যোপাধ্যায়,হিন্দু
মুখোপাধ্যায়,হিন্দু
রায়,হিন্দু
পুরকায়স্থ,হিন্দু
রায় বাহাদুর,হিন্দু
জোয়ার্দার,হিন্দু
রায়চৌধুরী,হিন্দু
দেওয়ান,হিন্দু
পটুয়া,হিন্দু
পাটোয়ারি,হিন্দু
ডাকুয়া,হিন্দু
আলম্বায়ন,হিন্দু
গোয়ালা,হিন্দু
খেয়াং,আদিবাসী
খাসিয়া,আদিবাসী
খারিয়া,আদিবাসী
খারওয়ার,আদিবাসী
খেড়োয়ার,আদিবাসী
খাড়িয়া,আদিবাসী
গায়েন,হিন্দু
সেয়ক,হিন্দু
বসুয়ারী,হিন্দু
বসুয়া,হিন্দু
রায়ী,হিন্দু
রায়গ্রাম,হিন্দু
পলসায়ী,হিন্দু
সিয়ারী,হিন্দু
সিয়ারা,হিন্দু
নায়ী,হিন্দু
নায়ারী,হিন্দু
নায়,হিন্দু
দায়ী,হিন্দু
দায়া,হিন্দু
কোঁয়ারী,হিন্দু
বড়ুয়া,বড়ুয়া
কোড়াইয়া,খ্রিস্টান
রিয়াজী,আদিবাসী
কোরায়া,খ্রিস্টান
বিবি,মুসলমান
ম্মো,আদিবাসী
সরেন,আদিবাসী
পাহান,আদিবাসী
টুডু,আদিবাসী
বাউরী,আদিবাসী
মুরমু,আদিবাসী
মুরুং,আদিবাসী
ঋষি,হিন্দু
সাওতাল,আদিবাসী
উরাং,আদিবাসী
মোল্যা,মুসলমান
মার্ডী,আদিবাসী
হঁাসদা,আদিবাসী
নাজমা,মুসলমান
বুনার্জী,হিন্দু
উরাও,আদিবাসী
নুরজাহান,মুসলমান
আনোয়ারা,মুসলমান
কিস্কু,আদিবাসী
জাহানারা,মুসলমান
নাছিমা,মুসলমান
মনোয়ারা,মুসলমান
মাডির,আদিবাসী
বোনার্জী,হিন্দু
কুর্মী,আদিবাসী
হালিমা,মুসলমান
আকলিমা,মুসলমান
শব্দকর,হিন্দু
সুফিয়া,মুসলমান-দুর্বল
চৌহান,হিন্দু
রিশি,হিন্দু
হাজেরা,মুসলমান
তাতী,আদিবাসী
মগ,আদিবাসী
তাছলিমা,মুসলমান
তনচংগ্যা,আদিবাসী
কুজুর,আদিবাসী
মাতুব্বর,মুসলমান-দুর্বল
ভর,হিন্দু
আছমা,মুসলমান
রোকেয়া,মুসলমান
মমতাজ,মুসলমান
সেলিনা,মুসলমান-দুর্বল
মজির্না,মুসলমান
জয়ধর,হিন্দু
সঁাওতাল,আদিবাসী
বাকচী,হিন্দু
কুলসুম,মুসলমান
আছিয়া,মুসলমান
জলদাশ,হিন্দু
কিওর্নীয়া,হিন্দু
বাড়ই,হিন্দু
কিসকু,আদিবাসী
রোজিনা,মুসলমান-দুর্বল
মাজেদা,মুসলমান
সাজেদা,মুসলমান
শাহানাজ,মুসলমান
রাবেয়া,মুসলমান
রিকমন,আদিবাসী
বাড়াইক,হিন্দু
রাশিদা,মুসলমান
খুমী,আদিবাসী
নম,হিন্দু
খঁান,মুসলমান-দুর্বল
হেমব্রম,আদিবাসী
ম্মং,আদিবাসী
আলেয়া,মুসলমান
ছালমা,মুসলমান
হরিজন,হিন্দু
রাবিয়া,মুসলমান
রাজিয়া,মুসলমান
বল্লভ,হিন্দু
রাহিমা,মুসলমান
কহিনুর,মুসলমান
রবিদাশ,হিন্দু
সেক,মুসলমান
সেখ,মুসলমান
রিকিয়াসন,আদিবাসী
ফিরোজা,মুসলমান
